time,subregion,parent,value
2019-11-08T07,SDGE,CISO,1759.11924791819
2019-11-08T08,SDGE,CISO,1896.56739501986
2019-11-08T09,SDGE,CISO,2014.59312227014
2019-11-08T10,SDGE,CISO,2088.1834137558
2019-11-08T11,SDGE,CISO,2103.95713026299
2019-11-08T12,SDGE,CISO,2063.25652269695
2019-11-08T13,SDGE,CISO,1981.34748182113
2019-11-08T14,SDGE,CISO,1882.97248899255
2019-11-08T15,SDGE,CISO,1795.47181090707
2019-11-08T16,SDGE,CISO,1741.33282623603
2019-11-08T17,SDGE,CISO,1732.17229682387
2019-11-08T18,SDGE,CISO,1765.76358709466
2019-11-08T19,SDGE,CISO,1826.89609544851
2019-11-08T20,SDGE,CISO,1891.81903756851
2019-11-08T21,SDGE,CISO,1935.05411515319
2019-11-08T22,SDGE,CISO,1936.72127673183
2019-11-08T23,SDGE,CISO,1888.3807150086
2019-11-09T00,SDGE,CISO,1795.79053636074
2019-11-09T01,SDGE,CISO,1677.80713632838
2019-11-09T02,SDGE,CISO,1561.69242979031
2019-11-09T03,SDGE,CISO,1476.06060069915
2019-11-09T04,SDGE,CISO,1443.33704317623
2019-11-09T05,SDGE,CISO,1473.7416288148
2019-11-09T06,SDGE,CISO,1562.40933765734
2019-11-09T07,SDGE,CISO,1690.42987799102
2019-11-09T08,SDGE,CISO,1829.5462938579
2019-11-09T09,SDGE,CISO,1949.27922188457
2019-11-09T10,SDGE,CISO,2024.59873799998
2019-11-09T11,SDGE,CISO,2042.12205839029
2019-11-09T12,SDGE,CISO,2003.21106899173
2019-11-09T13,SDGE,CISO,1923.17273185268
2019-11-09T14,SDGE,CISO,1826.80586245052
2019-11-09T15,SDGE,CISO,1741.51108663419
2019-11-09T16,SDGE,CISO,1689.82655470184
2019-11-09T17,SDGE,CISO,1683.39763971019
2019-11-09T18,SDGE,CISO,1719.99586287019
2019-11-09T19,SDGE,CISO,1784.37651340731
2019-11-09T20,SDGE,CISO,1852.72768046977
2019-11-09T21,SDGE,CISO,1899.49402060078
2019-11-09T22,SDGE,CISO,1904.71678068071
2019-11-09T23,SDGE,CISO,1859.88975844477
2019-11-10T00,SDGE,CISO,1770.72730291261
2019-11-10T01,SDGE,CISO,1656.06905126735
2019-11-10T02,SDGE,CISO,1543.18480788448
2019-11-10T03,SDGE,CISO,1460.71325260398
2019-11-10T04,SDGE,CISO,1431.1096368806
2019-11-10T05,SDGE,CISO,1464.6178643518
2019-11-10T06,SDGE,CISO,1556.38313753061
2019-11-10T07,SDGE,CISO,1687.48896841432
2019-11-10T08,SDGE,CISO,1829.65916706667
2019-11-10T09,SDGE,CISO,1952.39036744742
2019-11-10T10,SDGE,CISO,2030.63451990823
2019-11-10T11,SDGE,CISO,2051.00638849761
2019-11-10T12,SDGE,CISO,2014.88697747438
2019-11-10T13,SDGE,CISO,1937.62390968957
2019-11-10T14,SDGE,CISO,1844.0718242609
2019-11-10T15,SDGE,CISO,1761.69091960869
2019-11-10T16,SDGE,CISO,1713.06895493706
2019-11-10T17,SDGE,CISO,1709.878379626
2019-11-10T18,SDGE,CISO,1749.88707498309
2019-11-10T19,SDGE,CISO,1817.81435530923
2019-11-10T20,SDGE,CISO,1889.78547917588
2019-11-10T21,SDGE,CISO,1940.16673117061
2019-11-10T22,SDGE,CISO,1948.91985880477
2019-11-10T23,SDGE,CISO,1907.47205306614
2019-11-11T00,SDGE,CISO,1821.49423531237
2019-11-11T01,SDGE,CISO,1709.81002942317
2019-11-11T02,SDGE,CISO,1599.69812181656
2019-11-11T03,SDGE,CISO,1519.82276763268
2019-11-11T04,SDGE,CISO,1492.67013320836
2019-11-11T05,SDGE,CISO,1528.5091612852
2019-11-11T06,SDGE,CISO,1622.49628914692
2019-11-11T07,SDGE,CISO,1755.70996947969
2019-11-11T08,SDGE,CISO,1899.85618354255
2019-11-11T09,SDGE,CISO,2024.40935610381
2019-11-11T10,SDGE,CISO,2104.30554839624
2019-11-11T11,SDGE,CISO,2126.15971640165
2019-11-11T12,SDGE,CISO,2091.37490897945
2019-11-11T13,SDGE,CISO,2015.34242809802
2019-11-11T14,SDGE,CISO,1922.97563620214
2019-11-11T15,SDGE,CISO,1841.79690599113
2019-11-11T16,SDGE,CISO,1794.4458069787
2019-11-11T17,SDGE,CISO,1792.62366812728
2019-11-11T18,SDGE,CISO,1834.09624437529
2019-11-11T19,SDGE,CISO,1903.54828897924
2019-11-11T20,SDGE,CISO,1977.04377112268
2019-11-11T21,SDGE,CISO,2028.87248239519
2019-11-11T22,SDGE,CISO,2038.91903334343
2019-11-11T23,SDGE,CISO,1998.54690411362
2019-11-12T00,SDGE,CISO,1913.38696647918
2019-11-12T01,SDGE,CISO,1802.25055881754
2019-11-12T02,SDGE,CISO,1692.4291538762
2019-11-12T03,SDGE,CISO,1612.61649800501
2019-11-12T04,SDGE,CISO,1585.33348800079
2019-11-12T05,SDGE,CISO,1620.87778975606
2019-11-12T06,SDGE,CISO,1714.42068114243
2019-11-12T07,SDGE,CISO,1847.03919979063
2019-11-12T08,SDGE,CISO,1990.42532091906
2019-11-12T09,SDGE,CISO,2114.03537727823
2019-11-12T10,SDGE,CISO,2192.79400248325
2019-11-12T11,SDGE,CISO,2213.32111001577
2019-11-12T12,SDGE,CISO,2177.04673309013
2019-11-12T13,SDGE,CISO,2099.41077302128
2019-11-12T14,SDGE,CISO,2005.39000334272
2019-11-12T15,SDGE,CISO,1922.57324602037
2019-11-12T16,SDGE,CISO,1873.65564089013
2019-11-12T17,SDGE,CISO,1870.37064440718
2019-11-12T18,SDGE,CISO,1910.48473005367
2019-11-12T19,SDGE,CISO,1978.65072209746
2019-11-12T20,SDGE,CISO,2050.87394553743
2019-11-12T21,SDGE,CISO,2101.37056566136
2019-11-12T22,SDGE,CISO,2109.95128682801
2019-11-12T23,SDGE,CISO,2067.91951963156
2019-11-13T00,SDGE,CISO,1980.87008316767
2019-11-13T01,SDGE,CISO,1867.60624745487
2019-11-13T02,SDGE,CISO,1755.43653384085
2019-11-13T03,SDGE,CISO,1673.08832176992
2019-11-13T04,SDGE,CISO,1643.1211484859
2019-11-13T05,SDGE,CISO,1675.86505108237
2019-11-13T06,SDGE,CISO,1766.5095888031
2019-11-13T07,SDGE,CISO,1896.13373549523
2019-11-13T08,SDGE,CISO,2036.41886262963
2019-11-13T09,SDGE,CISO,2156.80677991492
2019-11-13T10,SDGE,CISO,2232.21447817993
2019-11-13T11,SDGE,CISO,2249.27078800876
2019-11-13T12,SDGE,CISO,2209.43673110769
2019-11-13T13,SDGE,CISO,2128.20466370503
2019-11-13T14,SDGE,CISO,2030.61826637497
2019-11-13T15,SDGE,CISO,1944.33576961542
2019-11-13T16,SDGE,CISO,1892.11020827917
2019-11-13T17,SDGE,CISO,1885.70886420975
2019-11-13T18,SDGE,CISO,1922.90011449211
2019-11-13T19,SDGE,CISO,1988.30572099262
2019-11-13T21,SDGE,CISO,2057.87314182466
2019-11-13T22,SDGE,CISO,2105.74581433566
2019-11-13T23,SDGE,CISO,2111.66169972052
2019-11-14T00,SDGE,CISO,2066.86561360335
2019-11-14T01,SDGE,CISO,1976.91805414391
2019-11-14T02,SDGE,CISO,1860.61607763023
2019-11-14T03,SDGE,CISO,1745.287058544
2019-11-14T04,SDGE,CISO,1659.69360165437
2019-11-14T05,SDGE,CISO,1626.43515740685
2019-11-14T06,SDGE,CISO,1655.87506232641
2019-11-14T07,SDGE,CISO,1743.22180053187
2019-11-14T08,SDGE,CISO,1869.55676337978
2019-11-14T09,SDGE,CISO,2006.55118227273
2019-11-14T10,SDGE,CISO,2123.63290888277
2019-11-14T11,SDGE,CISO,2195.7120094483
2019-11-14T12,SDGE,CISO,2209.42706448908
2019-11-14T13,SDGE,CISO,2166.27090434349
2019-11-14T14,SDGE,CISO,2081.78895827369
2019-11-14T15,SDGE,CISO,1981.09202391457
2019-11-14T16,SDGE,CISO,1891.90737132959
2019-11-14T17,SDGE,CISO,1837.0448916947
2019-11-14T18,SDGE,CISO,1828.30399918649
2019-11-14T19,SDGE,CISO,1863.4527484544
2019-11-14T20,SDGE,CISO,1927.07928095169
2019-11-14T21,SDGE,CISO,1995.0705325692
2019-11-14T22,SDGE,CISO,2041.49467455852
2019-11-14T23,SDGE,CISO,2046.01465061209
2019-11-15T00,SDGE,CISO,1999.81472011607
2019-11-15T01,SDGE,CISO,1908.41935996454
2019-11-15T02,SDGE,CISO,1790.61784179255
2019-11-15T03,SDGE,CISO,1673.75478234867
2019-11-15T04,SDGE,CISO,1586.62620336635
2019-11-15T05,SDGE,CISO,1551.8693610121
2019-11-15T06,SDGE,CISO,1579.87846563233
2019-11-15T07,SDGE,CISO,1665.87824829512
2019-11-15T08,SDGE,CISO,1790.94971563654
2019-11-15T09,SDGE,CISO,1926.75118168926
2019-11-15T10,SDGE,CISO,2042.69391035302
2019-11-15T11,SDGE,CISO,2113.67861593187
2019-11-15T12,SDGE,CISO,2126.35136802835
2019-11-15T13,SDGE,CISO,2082.23458680103
2019-11-15T14,SDGE,CISO,1996.92441204926
2019-11-15T15,SDGE,CISO,1895.59605083811
2019-11-15T16,SDGE,CISO,1806.04259483901
2019-11-15T17,SDGE,CISO,1751.12697901105
2019-11-15T18,SDGE,CISO,1742.6763648747
2019-11-15T19,SDGE,CISO,1778.45365500626
2019-11-15T20,SDGE,CISO,1843.00830265692
2019-11-15T21,SDGE,CISO,1912.16165435153
2019-11-15T22,SDGE,CISO,1959.90176594774
2019-11-15T23,SDGE,CISO,1965.81208024923
2019-11-16T00,SDGE,CISO,1921.01223280406
2019-11-16T01,SDGE,CISO,1830.9869756935
2019-11-16T02,SDGE,CISO,1714.51432562444
2019-11-16T03,SDGE,CISO,1598.95273676522
2019-11-16T04,SDGE,CISO,1513.12815325655
2019-11-16T05,SDGE,CISO,1479.71195425527
2019-11-16T06,SDGE,CISO,1509.12533754248
2019-11-16T07,SDGE,CISO,1596.60526027839
2019-11-16T08,SDGE,CISO,1723.22831978837
2019-11-16T09,SDGE,CISO,1860.63603539301
2019-11-16T10,SDGE,CISO,1978.21947646428
2019-11-16T11,SDGE,CISO,2050.8667238918
